Date,Open,High,Low,Close,Volume,Market Cap
3/7/17,0.123459,0.123531,0.116952,0.122573,8291.00,6172950.00
3/6/17,0.121782,0.124417,0.118414,0.12345,10659.00,6089100.00
3/5/17,0.119821,0.12368,0.116513,0.121757,4192.00,5991050.00
3/4/17,0.122602,0.125583,0.117666,0.119901,6235.00,6130100.00
3/3/17,0.119272,0.124929,0.118119,0.122444,9499.00,5963600.00
3/2/17,0.135408,0.135475,0.115596,0.119301,8963.00,6770400.00
3/1/17,0.117455,0.135197,0.113717,0.135197,12914.00,5872750.00
2/28/17,0.115442,0.118271,0.113307,0.117443,19659.00,5772100.00
2/27/17,0.115234,0.118632,0.10963,0.115376,8960.00,5761700.00
2/26/17,0.114553,0.115582,0.104331,0.114986,8433.00,5727650.00
2/25/17,0.120864,0.12166,0.110955,0.114526,9339.00,6043200.00
2/24/17,0.119243,0.136124,0.086475,0.121185,17386.00,5962150.00
2/23/17,0.121958,0.122226,0.114699,0.118724,6304.00,6097900.00
2/22/17,0.124515,0.124515,0.115683,0.121959,6903.00,6225750.00
2/21/17,0.1214,0.127322,0.114101,0.121561,14370.00,6070000.00
2/20/17,0.123001,0.127204,0.116679,0.121475,10971.00,6150050.00
2/19/17,0.124522,0.124827,0.117671,0.122905,4321.00,6226100.00
2/18/17,0.122901,0.130873,0.119005,0.124431,13458.00,6145050.00
2/17/17,0.125972,0.130485,0.115022,0.122661,28259.00,6298600.00
2/16/17,0.112739,0.126088,0.112574,0.126088,10795.00,5636950.00
2/15/17,0.116744,0.120698,0.111437,0.112729,5690.00,5837200.00
2/14/17,0.118339,0.121985,0.114384,0.116603,6788.00,5916950.00
2/13/17,0.12153,0.13772,0.118105,0.118286,6977.00,6076500.00
2/12/17,0.125493,0.137479,0.117401,0.121566,3330.00,6274650.00
2/11/17,0.125788,0.127159,0.122483,0.125607,743.00,6289400.00
2/10/17,0.12754,0.13171,0.117976,0.125761,2605.00,6377000.00
2/9/17,0.129684,0.132791,0.118249,0.127476,10870.00,6484200.00
2/8/17,0.133244,0.134031,0.121542,0.129568,8268.00,6662200.00
2/7/17,0.126972,0.136817,0.126972,0.133135,5302.00,6348600.00
2/6/17,0.131717,0.138723,0.125146,0.126788,10498.00,6585850.00
2/5/17,0.135944,0.143104,0.128306,0.131582,2685.00,6797200.00
2/4/17,0.134385,0.147454,0.13296,0.135867,10217.00,6719250.00
2/3/17,0.14565,0.14565,0.132985,0.134264,9702.00,7282500.00
2/2/17,0.147206,0.147974,0.134287,0.145699,2973.00,7360300.00
2/1/17,0.147034,0.150287,0.140878,0.147218,4496.00,7351700.00
1/31/17,0.153713,0.153791,0.144326,0.147016,17416.00,7685650.00
1/30/17,0.141147,0.15376,0.140489,0.15376,9285.00,7057350.00
1/29/17,0.138097,0.14186,0.132053,0.141204,11695.00,6904850.00
1/28/17,0.130334,0.137387,0.125774,0.134674,7066.00,6516700.00
1/27/17,0.129894,0.135296,0.128775,0.130343,9238.00,6494700.00
1/26/17,0.124319,0.135711,0.120759,0.133612,7694.00,6215950.00
1/25/17,0.120212,0.129256,0.115434,0.124216,6427.00,6010600.00
1/24/17,0.128569,0.128569,0.113295,0.120213,7139.00,6428450.00
1/23/17,0.114416,0.130461,0.111428,0.129948,7175.00,5720800.00
1/22/17,0.116306,0.119379,0.109804,0.114313,6468.00,5815300.00
1/21/17,0.117955,0.127853,0.114241,0.116309,15335.00,5897750.00
1/20/17,0.116596,0.124276,0.111754,0.117809,16255.00,5829800.00
1/19/17,0.123035,0.123948,0.116102,0.116619,14984.00,6151750.00
1/18/17,0.116816,0.123035,0.115687,0.123035,7457.00,5840800.00
1/17/17,0.119675,0.122525,0.114662,0.116638,7960.00,5983750.00
1/16/17,0.12373,0.123958,0.118628,0.119649,5112.00,6186500.00
1/15/17,0.122904,0.132022,0.117124,0.123732,6954.00,6145200.00
1/14/17,0.121337,0.12394,0.116299,0.122939,9262.00,6066850.00
1/13/17,0.124106,0.124342,0.113803,0.121321,50365.00,6205300.00
1/12/17,0.115137,0.124128,0.109263,0.124122,59945.00,5756850.00
1/11/17,0.13397,0.13495,0.112802,0.115138,120522.00,6698500.00
1/10/17,0.123761,0.13955,0.123113,0.133864,126915.00,6188050.00
1/9/17,0.13263,0.13367,0.117667,0.123767,90000.00,6631500.00
