Date,Open,High,Low,Close,Volume,Market Cap
7/25/17,3.52,3.56,2.76,2.91,2462600.00,351753000.00
7/24/17,3.65,3.71,3.39,3.52,1813130.00,364582000.00
7/23/17,3.9,3.97,3.5,3.65,2608730.00,390012000.00
7/22/17,3.24,4.17,3.23,3.9,3246480.00,324151000.00
7/21/17,3.26,3.44,3.13,3.24,2167520.00,326154000.00
7/20/17,2.61,3.43,2.61,3.25,2164540.00,260970000.00
7/19/17,2.83,2.87,2.53,2.64,2096680.00,282847000.00
7/18/17,2.52,2.95,2.38,2.83,2325000.00,252329000.00
7/17/17,1.97,2.52,1.94,2.52,1909110.00,196939000.00
7/16/17,2.01,2.06,1.77,1.97,1677160.00,201211000.00
7/15/17,2.43,2.43,1.98,2.04,2860750.00,242705000.00
7/14/17,2.89,2.89,2.33,2.43,2439500.00,289495000.00
7/13/17,3.05,3.09,2.72,2.9,1734160.00,305263000.00
7/12/17,2.59,3.05,2.42,3.05,1930340.00,258727000.00
7/11/17,2.79,2.96,2.49,2.59,3152450.00,278827000.00
7/10/17,3.74,3.76,2.73,2.82,2638830.00,373806000.00
7/9/17,3.92,3.94,3.75,3.75,1225380.00,392118000.00
7/8/17,3.79,3.93,3.5,3.93,1412280.00,379403000.00
7/7/17,4.33,4.36,3.71,3.77,2631630.00,432714000.00
7/6/17,4.58,4.65,4.24,4.34,2939230.00,457740000.00
7/5/17,4.32,4.79,4.28,4.56,5733020.00,431855000.00
7/4/17,3.79,4.49,3.75,4.32,5214290.00,378985000.00
7/3/17,3.61,3.87,3.48,3.81,2625710.00,361116000.00
7/2/17,3.7,3.71,3.51,3.62,2239090.00,369637000.00
7/1/17,3.57,4.08,3.53,3.7,2615170.00,357030000.00
6/30/17,3.95,3.97,3.51,3.57,2036280.00,394515000.00
6/29/17,4.24,4.28,3.9,3.91,1639660.00,423977000.00
6/28/17,4.31,4.34,4.03,4.24,2772690.00,431391000.00
6/27/17,3.95,4.31,3.66,4.29,2439380.00,395139000.00
6/26/17,4.64,4.65,3.53,3.83,6562970.00,464448000.00
6/25/17,4.88,4.96,4.45,4.62,3048820.00,488443000.00
6/24/17,5.21,5.34,4.73,4.86,2400890.00,521488000.00
6/23/17,4.91,5.36,4.81,5.21,2166710.00,491211000.00
6/22/17,4.91,5.05,4.8,4.92,2058720.00,490781000.00
6/21/17,5.06,5.12,4.87,4.89,2505130.00,506126000.00
6/20/17,5.15,5.33,4.93,5.07,3440970.00,514943000.00
6/19/17,5.02,5.3,4.93,5.15,3298260.00,502246000.00
6/18/17,5.17,5.33,4.98,4.99,1459430.00,517299000.00
6/17/17,5.16,5.38,5.03,5.18,2057140.00,516262000.00
6/16/17,5.28,5.42,4.95,5.16,1920540.00,527868000.00
6/15/17,5.09,5.36,4.34,5.28,3132730.00,508817000.00
6/14/17,5.82,6,4.99,5.09,2377380.00,582270000.00
6/13/17,5.33,5.86,5.23,5.77,2666350.00,532627000.00
6/12/17,6.31,6.49,4.94,5.36,2913670.00,631105000.00
6/11/17,5.67,6.4,5.63,6.32,2939820.00,566858000.00
6/10/17,6.34,7.01,5.5,5.82,5124700.00,634469000.00
6/9/17,5.82,7,5.74,6.34,3963370.00,581550000.00
6/8/17,5.29,5.92,5.09,5.82,2984740.00,528517000.00
6/7/17,5.48,5.48,4.86,5.27,2448950.00,548427000.00
6/6/17,5.69,5.69,4.94,5.51,4467540.00,568531000.00
6/5/17,5.33,5.69,5.24,5.64,3095220.00,533405000.00
6/4/17,5.16,5.58,4.44,5.35,4447070.00,516357000.00
6/3/17,4.69,6.51,4.61,5.19,10124100.00,468617000.00
6/2/17,3.4,4.64,3.4,4.53,4988350.00,340371000.00
6/1/17,2.94,3.53,2.93,3.44,3224130.00,294035000.00
5/31/17,2.43,3.08,2.39,2.95,2233740.00,242799000.00
5/30/17,2.7,2.76,2.38,2.38,2066020.00,269773000.00
5/29/17,2.48,2.76,2.27,2.68,1475750.00,247786000.00
5/28/17,2.26,2.74,2.26,2.47,1273880.00,225588000.00
5/27/17,2.49,2.61,1.74,2.25,2019910.00,249088000.00
5/26/17,2.35,2.95,2.33,2.49,1994070.00,235176000.00
5/25/17,2.83,2.95,2.29,2.36,2280980.00,282949000.00
5/24/17,2.64,3.07,2.51,2.75,2549760.00,263789000.00
5/23/17,1.88,2.75,1.88,2.57,3640250.00,188212000.00
5/22/17,1.77,1.98,1.75,1.87,1696230.00,176818000.00
5/21/17,1.64,1.79,1.64,1.77,1498620.00,163762000.00
5/20/17,1.57,1.65,1.49,1.64,1019880.00,156886000.00
5/19/17,1.39,1.61,1.37,1.57,1423940.00,139098000.00
5/18/17,1.28,1.4,1.28,1.38,912823.00,128494000.00
5/17/17,1.27,1.43,1.25,1.34,1348780.00,126782000.00
5/16/17,1.42,1.42,1.24,1.26,1209240.00,141828000.00
5/15/17,1.37,1.46,1.32,1.4,1664930.00,137497000.00
5/14/17,1.19,1.42,1.19,1.37,2176080.00,119476000.00
5/13/17,1.11,1.21,1.07,1.19,1559600.00,110983000.00
5/12/17,1.22,1.26,0.799024,1.11,1006640.00,121533000.00
5/11/17,1.21,1.33,1.15,1.2,1606360.00,121449000.00
5/10/17,0.910802,1.36,0.904453,1.2,2897830.00,91080200.00
5/9/17,0.830627,1.11,0.815311,0.917445,845264.00,83062700.00
5/8/17,0.800956,0.853055,0.765106,0.818904,620587.00,80095600.00
5/7/17,0.767301,0.843241,0.752029,0.789317,689834.00,76730100.00
5/6/17,0.733379,0.815748,0.716798,0.798015,526869.00,73337900.00
5/5/17,0.718197,0.782981,0.713954,0.732555,500678.00,71819700.00
5/4/17,0.669921,0.751036,0.66586,0.715918,450198.00,66992100.00
5/3/17,0.622717,0.675319,0.599816,0.669789,443313.00,62271700.00
5/2/17,0.597314,0.6223,0.566792,0.6223,319906.00,59731400.00
5/1/17,0.599764,0.630785,0.581609,0.597523,363535.00,59976400.00
4/30/17,0.584291,0.61952,0.577786,0.593739,265313.00,58429100.00
4/29/17,0.602079,0.624092,0.572405,0.58611,334335.00,60207900.00
4/28/17,0.559614,0.600954,0.529378,0.600954,377319.00,55961400.00
4/27/17,0.558109,0.571005,0.526808,0.559958,350409.00,55810900.00
4/26/17,0.549625,0.579819,0.545577,0.557545,407189.00,54962500.00
4/25/17,0.562252,0.577594,0.530378,0.549486,484929.00,56225200.00
4/24/17,0.563522,0.61486,0.541515,0.562138,681177.00,56352200.00
4/23/17,0.473141,0.559936,0.473141,0.559936,479973.00,47314100.00
4/22/17,0.460812,0.489511,0.456272,0.478201,195745.00,46081200.00
4/21/17,0.461387,0.471075,0.444341,0.4605,180213.00,46138700.00
4/20/17,0.457924,0.478858,0.439249,0.457231,302686.00,45792400.00
4/19/17,0.431306,0.4588,0.421073,0.457649,379471.00,43130600.00
4/18/17,0.445136,0.46271,0.427708,0.431094,257694.00,44513600.00
