Date,bitcoin_Open,bitcoin_High,bitcoin_Low,bitcoin_Close,bitcoin_Volume,bitcoin_Market Cap,iota_Open,iota_High,iota_Low,iota_Close,iota_Volume,iota_Market Cap,bitcoin_cash_Open,bitcoin_cash_High,bitcoin_cash_Low,bitcoin_cash_Close,bitcoin_cash_Volume,bitcoin_cash_Market Cap,bitconnect_Open,bitconnect_High,bitconnect_Low,bitconnect_Close,bitconnect_Volume,bitconnect_Market Cap,waves_Open,waves_High,waves_Low,waves_Close,waves_Volume,waves_Market Cap,stratis_Open,stratis_High,stratis_Low,stratis_Close,stratis_Volume,stratis_Market Cap,ripple_Open,ripple_High,ripple_Low,ripple_Close,ripple_Volume,ripple_Market Cap,qtum_Open,qtum_High,qtum_Low,qtum_Close,qtum_Volume,qtum_Market Cap,ethereum_classic_Open,ethereum_classic_High,ethereum_classic_Low,ethereum_classic_Close,ethereum_classic_Volume,ethereum_classic_Market Cap,omisego_Open,omisego_High,omisego_Low,omisego_Close,omisego_Volume,omisego_Market Cap,numeraire_Open,numeraire_High,numeraire_Low,numeraire_Close,numeraire_Volume,numeraire_Market Cap,nem_Open,nem_High,nem_Low,nem_Close,nem_Volume,nem_Market Cap,litecoin_Open,litecoin_High,litecoin_Low,litecoin_Close,litecoin_Volume,litecoin_Market Cap,ethereum_Open,ethereum_High,ethereum_Low,ethereum_Close,ethereum_Volume,ethereum_Market Cap,dash_Open,dash_High,dash_Low,dash_Close,dash_Volume,dash_Market Cap,monero_Open,monero_High,monero_Low,monero_Close,monero_Volume,monero_Market Cap
9/12/13,135.55,136.08,131.81,133.13,-,1583960000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006287,0.006442,0.006008,0.006349,,49152200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,2.75,2.66,2.7,,58116300.00,,,,,,,,,,,,,,,,,,
9/11/13,125.89,137.83,123.27,135.25,-,1470450000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005807,0.006393,0.005698,0.006273,,45397700.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,2.81,2.61,2.72,,55825700.00,,,,,,,,,,,,,,,,,,
9/10/13,127.27,129.74,125.9,125.91,-,1485960000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006278,0.006332,0.005807,0.005808,,49079900.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,2.73,2.62,2.64,,57610700.00,,,,,,,,,,,,,,,,,,
9/9/13,121.86,129.06,119.75,127.11,-,1422180000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006193,0.006552,0.006079,0.00627,,48417800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,2.76,2.65,2.73,,57564700.00,,,,,,,,,,,,,,,,,,
9/8/13,124.13,124.72,120.49,121.66,-,1448180000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006172,0.006304,0.00612,0.006183,,48251900.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.77,2.67,2.73,,56907400.00,,,,,,,,,,,,,,,,,,
9/7/13,118.89,125.94,118.46,124.15,-,1386610000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005853,0.00627,0.005832,0.006173,,45756200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,2.76,2.67,2.71,,56314500.00,,,,,,,,,,,,,,,,,,
9/6/13,126.49,127.34,119.15,119.15,-,1474670000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005717,0.006151,0.005627,0.005866,,44698500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,2.84,2.65,2.69,,58296100.00,,,,,,,,,,,,,,,,,,
9/5/13,126.76,131.44,121.83,126.43,-,1477250000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005696,0.005991,0.005474,0.005715,,44529800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,2.95,2.71,2.75,,58978900.00,,,,,,,,,,,,,,,,,,
9/4/13,136.53,144.5,123.61,126.74,-,1590550000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00566,0.006276,0.005507,0.005695,,44248300.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,3.19,2.6,2.81,,54374100.00,,,,,,,,,,,,,,,,,,
9/3/13,135.61,138.34,133,136.77,-,1579180000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005518,0.005693,0.005405,0.00567,,43139800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,2.62,2.49,2.6,,53347900.00,,,,,,,,,,,,,,,,,,
9/2/13,138.63,146.5,134.89,135.85,-,1613600000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005799,0.006115,0.005507,0.005528,,45334600.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,2.74,2.54,2.56,,53667700.00,,,,,,,,,,,,,,,,,,
