Date,Open,High,Low,Close,Volume,Market Cap
7/24/17,6.16,6.35,5.65,5.77,10593700.00,607093000.00
7/23/17,6.8,6.96,5.94,6.17,12522100.00,669425000.00
7/22/17,6.28,7.15,6.25,6.78,20602100.00,618085000.00
7/21/17,5.39,6.27,5.22,6.22,18578500.00,530496000.00
7/20/17,3.87,5.38,3.87,5.38,11643300.00,380850000.00
7/19/17,4.22,4.63,3.82,3.85,8872790.00,415559000.00
7/18/17,3.9,4.8,3.59,4.18,15771000.00,383676000.00
7/17/17,2.87,3.9,2.86,3.88,8947560.00,282410000.00
7/16/17,3.15,3.26,2.5,2.88,5474900.00,310564000.00
7/15/17,3.29,3.29,2.87,3.19,5250730.00,324366000.00
7/14/17,3.66,3.66,2.99,3.29,9898950.00,360072000.00
7/13/17,4.35,4.37,3.42,3.68,13810600.00,428182000.00
7/12/17,2.97,4.35,2.66,4.35,18375700.00,292008000.00
7/11/17,3.06,3.53,2.34,2.98,23622700.00,301381000.00
7/10/17,4.24,4.32,2.67,3.04,19098300.00,417352000.00
7/9/17,4.97,5.19,4.28,4.28,4576640.00,489388000.00
7/8/17,4.93,4.95,4.32,4.95,9638480.00,485542000.00
7/7/17,6.21,6.25,4.82,4.92,9364820.00,611878000.00
7/6/17,5.99,6.29,5.84,6.22,7169490.00,589414000.00
7/5/17,6.31,6.32,5.83,5.99,5158460.00,621293000.00
7/4/17,5.97,6.54,5.94,6.32,6141920.00,587765000.00
7/3/17,5.82,6.05,5.63,5.95,5280130.00,573245000.00
7/2/17,5.59,6.04,5.28,5.88,5537910.00,550593000.00
7/1/17,6.29,6.4,5.54,5.55,4750540.00,618999000.00
6/30/17,6.58,6.78,6.22,6.3,4946910.00,648016000.00
6/29/17,6.97,7.02,6.17,6.59,6378180.00,685773000.00
6/28/17,6.71,7.26,6.22,6.97,6790860.00,660817000.00
6/27/17,6.62,6.85,5.4,6.68,8249570.00,651371000.00
6/26/17,7.1,7.23,5.32,6.36,9864730.00,698652000.00
6/25/17,7.67,7.68,6.66,7.08,5651070.00,754894000.00
6/24/17,8.41,8.56,7.47,7.69,9579230.00,828315000.00
6/23/17,7.14,8.49,6.9,8.35,8762870.00,702458000.00
6/22/17,6.99,7.27,6.85,7.12,6066790.00,687720000.00
6/21/17,7.07,7.67,6.64,6.98,13564400.00,695668000.00
6/20/17,7.72,7.84,6.86,7.03,13751300.00,759460000.00
6/19/17,7.45,8.18,7.3,7.7,14198200.00,733745000.00
6/18/17,7.76,7.85,7.31,7.42,7625120.00,763324000.00
6/17/17,7.97,7.97,7.63,7.76,8056000.00,784488000.00
6/16/17,7.97,8.2,7.51,8.09,10005000.00,784397000.00
6/15/17,8.09,8.4,6.58,7.96,11399100.00,796567000.00
6/14/17,9.38,10.08,7.64,8.07,18743800.00,922947000.00
6/13/17,7.4,9.55,7.4,9.46,24455300.00,727868000.00
6/12/17,8.64,9.61,6.98,7.49,19884300.00,850720000.00
6/11/17,7,9.61,6.46,8.7,40501000.00,688678000.00
6/10/17,8.6,8.83,6.97,7.11,37558500.00,846058000.00
6/9/17,9.33,10.54,8.54,8.6,25801700.00,917966000.00
6/8/17,9.47,9.76,8.89,9.36,17328100.00,931815000.00
6/7/17,10.45,11.13,8.94,9.39,22802600.00,1028700000.00
6/6/17,10.48,11.1,9.87,10.62,24926500.00,1031430000.00
6/5/17,10.56,11.26,10.03,10.4,29752700.00,1039320000.00
6/4/17,9.02,10.85,8.13,10.48,40558300.00,887171000.00
6/3/17,8.62,11.68,8.61,9.3,76687700.00,848350000.00
6/2/17,6,9.21,5.85,8.68,61652500.00,590322000.00
6/1/17,5.2,6.12,5.04,6,17263800.00,511918000.00
5/31/17,6,6.39,4.93,5.09,38378600.00,590175000.00
5/30/17,3.8,5.99,3.76,5.87,29487300.00,374312000.00
5/29/17,3.12,4.02,3.12,3.76,12998700.00,306525000.00
5/28/17,2.68,3.21,2.65,3.12,4152120.00,263636000.00
5/27/17,3.06,3.17,1.97,2.68,5332510.00,300653000.00
5/26/17,2.67,3.43,2.59,3.03,6004290.00,262417000.00
5/25/17,3.06,3.5,2.65,2.67,4621460.00,301142000.00
5/24/17,3.05,3.43,2.85,3,11021500.00,300580000.00
5/23/17,1.96,3.24,1.96,2.99,8526840.00,193213000.00
5/22/17,2.1,2.1,1.88,1.95,3365370.00,206311000.00
5/21/17,2.01,2.15,1.87,2.11,5030270.00,198012000.00
5/20/17,1.66,2.01,1.62,2.01,4183780.00,163356000.00
5/19/17,1.42,1.75,1.38,1.66,5798680.00,139905000.00
5/18/17,1.27,1.42,1.24,1.41,2850560.00,124689000.00
5/17/17,1.23,1.3,1.19,1.26,1739460.00,121279000.00
5/16/17,1.2,1.26,1.15,1.24,1680650.00,118259000.00
5/15/17,1.28,1.28,1.18,1.2,836058.00,125557000.00
5/14/17,1.25,1.32,1.24,1.28,981516.00,122761000.00
5/13/17,1.25,1.29,1.18,1.25,857911.00,122735000.00
5/12/17,1.32,1.37,1.23,1.26,1778790.00,129648000.00
5/11/17,1.26,1.38,1.23,1.32,1734260.00,124139000.00
5/10/17,1.13,1.37,1.12,1.26,3290310.00,110803000.00
5/9/17,1.17,1.22,0.968627,1.13,2338300.00,115221000.00
5/8/17,1.18,1.22,1.1,1.18,2535400.00,116185000.00
5/7/17,1.21,1.24,1.08,1.18,2653790.00,118866000.00
5/6/17,1.2,1.26,1.16,1.2,1746380.00,118496000.00
5/5/17,1.17,1.34,1.14,1.2,4847450.00,114630000.00
5/4/17,1.05,1.16,0.966136,1.16,3190040.00,102814000.00
5/3/17,0.81793,1.06,0.76724,1.04,6462660.00,80459200.00
5/2/17,0.747138,0.82059,0.722066,0.812072,1425740.00,73494400.00
5/1/17,0.737883,0.812804,0.70803,0.747317,2046520.00,72583100.00
4/30/17,0.732707,0.765318,0.706671,0.732536,1610270.00,72073000.00
4/29/17,0.684901,0.729943,0.646585,0.729943,1296150.00,67369700.00
4/28/17,0.617785,0.705423,0.605542,0.683122,1383590.00,60767100.00
4/27/17,0.638074,0.643248,0.582553,0.61986,1012360.00,62761900.00
4/26/17,0.59526,0.658377,0.585844,0.6376,1092190.00,58549900.00
4/25/17,0.633718,0.635376,0.574855,0.590839,1074350.00,62331800.00
4/24/17,0.587854,0.635381,0.579851,0.634239,845139.00,57819900.00
4/23/17,0.638919,0.642939,0.585091,0.585091,1066710.00,62841800.00
4/22/17,0.66477,0.678386,0.581039,0.633149,1176330.00,65383500.00
4/21/17,0.669078,0.698216,0.648271,0.660851,618058.00,65806400.00
4/20/17,0.681851,0.701159,0.607216,0.667942,1873680.00,67061700.00
4/19/17,0.70032,0.75726,0.665934,0.681415,2528750.00,68877300.00
4/18/17,0.673516,0.700032,0.66083,0.700032,1093750.00,66240200.00
4/17/17,0.675905,0.691317,0.631967,0.669994,1489060.00,66474300.00
4/16/17,0.677898,0.740796,0.646971,0.676857,3328550.00,66669500.00
4/15/17,0.60843,0.750817,0.591067,0.678061,5749910.00,59836700.00
4/14/17,0.538327,0.626694,0.514536,0.610367,4448330.00,52941600.00
4/13/17,0.420286,0.54918,0.399227,0.542483,2461110.00,41332400.00
4/12/17,0.417345,0.424775,0.40357,0.419679,414260.00,41042600.00
4/11/17,0.423156,0.433431,0.403996,0.41337,472155.00,41613500.00
4/10/17,0.422399,0.429549,0.374214,0.422815,1056040.00,41538600.00
4/9/17,0.449177,0.462887,0.418681,0.421928,719470.00,44171300.00
4/8/17,0.451717,0.48853,0.414665,0.448099,1693160.00,44420500.00
4/7/17,0.451101,0.473411,0.375788,0.427865,1889010.00,44359400.00
4/6/17,0.419843,0.508891,0.394881,0.452586,3144410.00,41285000.00
4/5/17,0.388421,0.545997,0.380617,0.416731,7752760.00,38194700.00
4/4/17,0.357205,0.401183,0.315558,0.38575,3027180.00,35124600.00
4/3/17,0.275118,0.350436,0.264378,0.341476,1166730.00,27052500.00
4/2/17,0.25257,0.30673,0.25257,0.276256,1886380.00,24835000.00
4/1/17,0.199113,0.263652,0.197635,0.24656,889150.00,19578400.00
3/31/17,0.198267,0.207285,0.184126,0.198193,550593.00,19494900.00
3/30/17,0.20144,0.214291,0.186298,0.198118,474000.00,19806700.00
3/29/17,0.179581,0.215974,0.176996,0.203608,546849.00,17657100.00
3/28/17,0.173483,0.191233,0.163761,0.179755,453196.00,17057300.00
3/27/17,0.188156,0.223377,0.168133,0.173743,1681390.00,18499800.00
3/26/17,0.132338,0.19622,0.132333,0.187084,1729470.00,13011500.00
3/25/17,0.11469,0.135959,0.112906,0.131945,345479.00,11276200.00
3/24/17,0.131431,0.132655,0.114056,0.114551,217068.00,12922000.00
