btc_market_price(t-1);btc_market_price(t-2);btc_market_price(t-3);btc_market_price(t-4);btc_market_price(t-5);btc_market_price(t-6);btc_market_price(t-7);btc_market_price(t-8);btc_market_price(t-9);btc_market_price(t-10);btc_hash_rate(t-1);btc_hash_rate(t-2);btc_hash_rate(t-3);btc_hash_rate(t-4);btc_hash_rate(t-5);btc_hash_rate(t-6);btc_hash_rate(t-7);btc_hash_rate(t-8);btc_hash_rate(t-9);btc_hash_rate(t-10);btc_hash_rate(t-11);btc_hash_rate(t-12);btc_hash_rate(t-13);btc_hash_rate(t-14);btc_hash_rate(t-15);btc_hash_rate(t-16);btc_hash_rate(t-17);btc_hash_rate(t-18);btc_hash_rate(t-19);btc_hash_rate(t-20);btc_miners_revenue(t-1);btc_miners_revenue(t-2);btc_miners_revenue(t-3);btc_miners_revenue(t-4);btc_miners_revenue(t-5);btc_miners_revenue(t-6);btc_miners_revenue(t-7);btc_miners_revenue(t-8);btc_miners_revenue(t-9);btc_miners_revenue(t-10);btc_estimated_transaction_volume_usd(t-1);btc_estimated_transaction_volume_usd(t-2);btc_estimated_transaction_volume_usd(t-3);btc_estimated_transaction_volume_usd(t-4);btc_estimated_transaction_volume_usd(t-5);btc_estimated_transaction_volume_usd(t-6);btc_estimated_transaction_volume_usd(t-7);btc_estimated_transaction_volume_usd(t-8);btc_estimated_transaction_volume_usd(t-9);btc_estimated_transaction_volume_usd(t-10);btc_market_price(t)
0.15;0.11;0.11;0.1;0.1;0.12;0.1;0.13;0.12;0.06;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;1575.0;948.39;1269.85;1244.16;1473.45;1100.75;802.75;1073.33;918.08;551.87;4299.0;2456.0;6726.0;2720.0;4489.0;7264.0;1954.0;5806.0;14355.0;7232.0;0.19
0.19;0.15;0.11;0.11;0.1;0.1;0.12;0.1;0.13;0.12;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;2014.0;1575.0;948.39;1269.85;1244.16;1473.45;1100.75;802.75;1073.33;918.08;18235.0;4299.0;2456.0;6726.0;2720.0;4489.0;7264.0;1954.0;5806.0;14355.0;0.19
0.19;0.19;0.15;0.11;0.11;0.1;0.1;0.12;0.1;0.13;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;2244.25;2014.0;1575.0;948.39;1269.85;1244.16;1473.45;1100.75;802.75;1073.33;16111.0;18235.0;4299.0;2456.0;6726.0;2720.0;4489.0;7264.0;1954.0;5806.0;0.2
0.2;0.19;0.19;0.15;0.11;0.11;0.1;0.1;0.12;0.1;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;1810.9;2244.25;2014.0;1575.0;948.39;1269.85;1244.16;1473.45;1100.75;802.75;7535.0;16111.0;18235.0;4299.0;2456.0;6726.0;2720.0;4489.0;7264.0;1954.0;0.2
0.2;0.2;0.19;0.19;0.15;0.11;0.11;0.1;0.1;0.12;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;1642.2;1810.9;2244.25;2014.0;1575.0;948.39;1269.85;1244.16;1473.45;1100.75;4977.0;7535.0;16111.0;18235.0;4299.0;2456.0;6726.0;2720.0;4489.0;7264.0;0.24
0.24;0.2;0.2;0.19;0.19;0.15;0.11;0.11;0.1;0.1;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;2253.9;1642.2;1810.9;2244.25;2014.0;1575.0;948.39;1269.85;1244.16;1473.45;28594.0;4977.0;7535.0;16111.0;18235.0;4299.0;2456.0;6726.0;2720.0;4489.0;0.29
0.29;0.24;0.2;0.2;0.19;0.19;0.15;0.11;0.11;0.1;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;2929.0;2253.9;1642.2;1810.9;2244.25;2014.0;1575.0;948.39;1269.85;1244.16;28387.0;28594.0;4977.0;7535.0;16111.0;18235.0;4299.0;2456.0;6726.0;2720.0;0.37
0.37;0.29;0.24;0.2;0.2;0.19;0.19;0.15;0.11;0.11;0.04;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;4828.5;2929.0;2253.9;1642.2;1810.9;2244.25;2014.0;1575.0;948.39;1269.85;134063.0;28387.0;28594.0;4977.0;7535.0;16111.0;18235.0;4299.0;2456.0;6726.0;0.27
0.27;0.37;0.29;0.24;0.2;0.2;0.19;0.19;0.15;0.11;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;2573.66;4828.5;2929.0;2253.9;1642.2;1810.9;2244.25;2014.0;1575.0;948.39;6184.0;134063.0;28387.0;28594.0;4977.0;7535.0;16111.0;18235.0;4299.0;2456.0;0.25
0.25;0.27;0.37;0.29;0.24;0.2;0.2;0.19;0.19;0.15;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;2146.05;2573.66;4828.5;2929.0;2253.9;1642.2;1810.9;2244.25;2014.0;1575.0;3054.0;6184.0;134063.0;28387.0;28594.0;4977.0;7535.0;16111.0;18235.0;4299.0;0.3
0.3;0.25;0.27;0.37;0.29;0.24;0.2;0.2;0.19;0.19;0.05;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;3558.1;2146.05;2573.66;4828.5;2929.0;2253.9;1642.2;1810.9;2244.25;2014.0;5671.0;3054.0;6184.0;134063.0;28387.0;28594.0;4977.0;7535.0;16111.0;18235.0;0.28
0.28;0.3;0.25;0.27;0.37;0.29;0.24;0.2;0.2;0.19;0.04;0.05;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;2558.44;3558.1;2146.05;2573.66;4828.5;2929.0;2253.9;1642.2;1810.9;2244.25;17785.0;5671.0;3054.0;6184.0;134063.0;28387.0;28594.0;4977.0;7535.0;16111.0;0.29
0.29;0.28;0.3;0.25;0.27;0.37;0.29;0.24;0.2;0.2;0.06;0.04;0.05;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;3813.49;2558.44;3558.1;2146.05;2573.66;4828.5;2929.0;2253.9;1642.2;1810.9;5600.0;17785.0;5671.0;3054.0;6184.0;134063.0;28387.0;28594.0;4977.0;7535.0;0.29
0.29;0.29;0.28;0.3;0.25;0.27;0.37;0.29;0.24;0.2;0.04;0.06;0.04;0.05;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;1661.75;3813.49;2558.44;3558.1;2146.05;2573.66;4828.5;2929.0;2253.9;1642.2;12813.0;5600.0;17785.0;5671.0;3054.0;6184.0;134063.0;28387.0;28594.0;4977.0;0.28
0.28;0.29;0.29;0.28;0.3;0.25;0.27;0.37;0.29;0.24;0.05;0.04;0.06;0.04;0.05;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.01;2256.0;1661.75;3813.49;2558.44;3558.1;2146.05;2573.66;4828.5;2929.0;2253.9;4200.0;12813.0;5600.0;17785.0;5671.0;3054.0;6184.0;134063.0;28387.0;28594.0;0.28
0.28;0.28;0.29;0.29;0.28;0.3;0.25;0.27;0.37;0.29;0.06;0.05;0.04;0.06;0.04;0.05;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;2617.66;2256.0;1661.75;3813.49;2558.44;3558.1;2146.05;2573.66;4828.5;2929.0;8045.0;4200.0;12813.0;5600.0;17785.0;5671.0;3054.0;6184.0;134063.0;28387.0;0.29
